text_key,text_en,text_es,text_fr,text_pt,text_de,text_it,text_nl,text_pl,text_tr,text_sv,context,page,category
aboutus.label.bruno_enjoying_the_river_265,Bruno enjoying the river,,,,,,,,,,"Line 21: alt=""Bruno enjoying the river""",AboutUs,label
aboutus.label.rounded_xl_shadow_lg_w_full_ma_266,rounded-xl shadow-lg w-full max-w-md,,,,,,,,,,"Line 24: className=""rounded-xl shadow-lg w-full max-w-md""",AboutUs,label
aboutus.label.bruno_chief_happiness_officer_267,"Bruno, Chief Happiness Officer",,,,,,,,,,"Line 26: <span className=""text-secondary mt-4 text-lg font-semibold"">Bruno, Chief Happine",AboutUs,label
aboutus.label.text_secondary_mt_4_text_lg_fo_268,text-secondary mt-4 text-lg font-semibold,,,,,,,,,,"Line 26: <span className=""text-secondary mt-4 text-lg font-semibold"">Bruno, Chief Happine",AboutUs,label
aboutus.label.mb_4_leading_relaxed_269,mb-4 leading-relaxed,,,,,,,,,,"Line 29: <p className=""mb-4 leading-relaxed"">",AboutUs,label
aboutus.label.go_daisy_270,Go Daisy,,,,,,,,,,Line 30: Welcome to <strong>Go Daisy</strong> — where it’s pretty much just one man and h,AboutUs,label
aboutus.label.get_people_off_their_phones_273,get people off their phones,,,,,,,,,,"Line 42: not just to predict or inform, but to <em>get people off their phones</em> and b",AboutUs,label
aboutus.label.mb_6_leading_relaxed_276,mb-6 leading-relaxed,,,,,,,,,,"Line 55: <p className=""mb-6 leading-relaxed"">",AboutUs,label
aboutus.label.mt_8_text_sm_text_secondary_277,mt-8 text-sm text-secondary,,,,,,,,,,"Line 64: <p className=""mt-8 text-sm text-secondary"">",AboutUs,label
activities.label.use_client_278,use client,,,,,,,,,,Line 18: 'use client';,activities,label
activities.label.kitesurfing_280,kitesurfing,,,,,,,,,,"Line 62: 'surfing', 'kitesurfing', 'windsurfing', 'sea_kayaking', 'canoeing',",activities,label
activities.label.windsurfing_281,windsurfing,,,,,,,,,,"Line 62: 'surfing', 'kitesurfing', 'windsurfing', 'sea_kayaking', 'canoeing',",activities,label
activities.label.sea_kayaking_282,sea_kayaking,,,,,,,,,,"Line 62: 'surfing', 'kitesurfing', 'windsurfing', 'sea_kayaking', 'canoeing',",activities,label
activities.label.snorkeling_283,snorkeling,,,,,,,,,,"Line 63: 'snorkeling', 'scuba_diving', 'jet_skiing', 'stand_up_paddleboarding', 'sup_sea'",activities,label
activities.label.scuba_diving_284,scuba_diving,,,,,,,,,,"Line 63: 'snorkeling', 'scuba_diving', 'jet_skiing', 'stand_up_paddleboarding', 'sup_sea'",activities,label
activities.label.jet_skiing_285,jet_skiing,,,,,,,,,,"Line 63: 'snorkeling', 'scuba_diving', 'jet_skiing', 'stand_up_paddleboarding', 'sup_sea'",activities,label
activities.label.stand_up_paddleboarding_286,stand_up_paddleboarding,,,,,,,,,,"Line 63: 'snorkeling', 'scuba_diving', 'jet_skiing', 'stand_up_paddleboarding', 'sup_sea'",activities,label
activities.label.sea_swimming_287,sea_swimming,,,,,,,,,,"Line 63: 'snorkeling', 'scuba_diving', 'jet_skiing', 'stand_up_paddleboarding', 'sup_sea'",activities,label
activities.label.sea_fishing_shore_288,sea_fishing_shore,,,,,,,,,,"Line 64: 'sea_fishing_shore', 'beach', 'beach_volleyball', 'sea_fishing_boat'",activities,label
activities.label.beach_volleyball_289,beach_volleyball,,,,,,,,,,"Line 64: 'sea_fishing_shore', 'beach', 'beach_volleyball', 'sea_fishing_boat'",activities,label
activities.label.sea_fishing_boat_290,sea_fishing_boat,,,,,,,,,,"Line 64: 'sea_fishing_shore', 'beach', 'beach_volleyball', 'sea_fishing_boat'",activities,label
activities.label._weather_icons_design_fill_fin_291,/weather-icons/design/fill/final/humidity.svg,,,,,,,,,,Line 68: const humidityIcon = '/weather-icons/design/fill/final/humidity.svg';,activities,label
activities.paragraph._weather_icons_design_fill_fin_292,/weather-icons/design/fill/final/raindrop-measure.svg,,,,,,,,,,Line 69: const rainIcon = '/weather-icons/design/fill/final/raindrop-measure.svg';,activities,paragraph
activities.label._weather_icons_design_fill_fin_312,/weather-icons/design/fill/final/windsock.svg,,,,,,,,,,Line 94: if (beaufort < 3) return '/weather-icons/design/fill/final/windsock.svg';,activities,label
activities.label._weather_icons_design_fill_fin_313,/weather-icons/design/fill/final/wind.svg,,,,,,,,,,Line 96: return '/weather-icons/design/fill/final/wind.svg';,activities,label
activities.label._8b5cf6_314,#8b5cf6,,,,,,,,,,"Line 111: color: '#8b5cf6',",activities,label
activities.label._10b981_315,#10b981,,,,,,,,,,"Line 118: color: '#10b981',",activities,label
activities.label._3b82f6_316,#3b82f6,,,,,,,,,,"Line 123: color: '#3b82f6',",activities,label
activities.label._f59e0b_317,#f59e0b,,,,,,,,,,"Line 128: color: '#f59e0b',",activities,label
activities.label._ef4444_318,#ef4444,,,,,,,,,,"Line 133: color: '#ef4444',",activities,label
activities.label._dc2626_319,#dc2626,,,,,,,,,,"Line 138: color: '#dc2626',",activities,label
activities.label.snowboarding_321,snowboarding,,,,,,,,,,"Line 208: const winterActivities = ['skiing', 'snowboarding', 'cross_country_skiing', 'ice",activities,label
activities.label.cross_country_skiing_322,cross_country_skiing,,,,,,,,,,"Line 208: const winterActivities = ['skiing', 'snowboarding', 'cross_country_skiing', 'ice",activities,label
activities.label.ice_skating_323,ice_skating,,,,,,,,,,"Line 208: const winterActivities = ['skiing', 'snowboarding', 'cross_country_skiing', 'ice",activities,label
activities.label.__324,) :,,,,,,,,,,"Line 228: ? `${activity?.name || (activityId ? activityId.replace(/_/g, ' ') : 'Activity')",activities,label
activities.paragraph.weather_conditions_vary_check__325,Weather conditions vary - check the details below.,,,,,,,,,,"Line 229: : activityId ? getActivityMessage(activityId, assessment.status, reasonsObjects)",activities,paragraph
activities.label.impossible_326,impossible,,,,,,,,,,"Line 264: 'dangerous', 'unsafe', 'impossible', 'unplayable', 'too_deep', 'snowfall_unsafe'",activities,label
activities.label.unplayable_327,unplayable,,,,,,,,,,"Line 264: 'dangerous', 'unsafe', 'impossible', 'unplayable', 'too_deep', 'snowfall_unsafe'",activities,label
activities.label.snowfall_unsafe_328,snowfall_unsafe,,,,,,,,,,"Line 264: 'dangerous', 'unsafe', 'impossible', 'unplayable', 'too_deep', 'snowfall_unsafe'",activities,label
activities.label.activity_card_activity_card_bg_329,activity-card activity-card__bg-image,,,,,,,,,,"Line 283: className=""activity-card activity-card__bg-image""",activities,label
activities.label.activity_card_header_330,activity-card__header,,,,,,,,,,"Line 292: <div className=""activity-card__header"">",activities,label
activities.label.activity_card_title_section_331,activity-card__title-section,,,,,,,,,,"Line 293: <div className=""activity-card__title-section"">",activities,label
activities.label.activity_card_emoji_332,activity-card__emoji,,,,,,,,,,"Line 294: <span className=""activity-card__emoji"">",activities,label
activities.heading.activity_card_title_333,activity-card__title,,,,,,,,,,"Line 297: <h3 className=""activity-card__title"">",activities,heading
activities.label.activity_card_badges_335,activity-card__badges,,,,,,,,,,"Line 303: <div className=""activity-card__badges"">",activities,label
activities.label.activity_card_badge_indoor_336,activity-card__badge--indoor,,,,,,,,,,Line 305: activityId && !isOutdoor(activityId) ? 'activity-card__badge--indoor' :,activities,label
activities.label.activity_card_badge_offseason_337,activity-card__badge--offseason,,,,,,,,,,Line 306: assessment.status === 'offseason' ? 'activity-card__badge--offseason' : '',activities,label
activities.button.activity_card_share_btn_338,activity-card__share-btn,,,,,,,,,,"Line 322: className=""activity-card__share-btn""",activities,button
activities.label.activity_card_message_339,activity-card__message,,,,,,,,,,"Line 332: <div className=""activity-card__message"">",activities,label
activities.label._but_still_an_option_if_you_341,")}, but still an option if you",,,,,,,,,,Line 334: `Not ideal weather for ${activity?.name || (activityId ? activityId.replace(/_/g,activities,label
activities.label.bg_red_600_text_white_342,bg-red-600 text-white,,,,,,,,,,Line 343: (/^(snowfall_)?(unsafe|dangerous|impossible|unplayable|too_deep)/.test(String(sn,activities,label
activities.label.bg_emerald_500_text_white_343,bg-emerald-500 text-white,,,,,,,,,,Line 344: : 'bg-emerald-500 text-white'),activities,label
activities.other._weather_icons_design_fill_fin_344,/weather-icons/design/fill/final/overcast-snow.svg,,,,,,,,,,Line 346: <Image src={String(snow.level).startsWith('snowfall_') ? '/weather-icons/design/,activities,other
activities.label._weather_icons_design_fill_fin_345,/weather-icons/design/fill/final/snowman.svg,,,,,,,,,,Line 346: <Image src={String(snow.level).startsWith('snowfall_') ? '/weather-icons/design/,activities,label
activities.label.snow_advisory_346,Snow advisory,,,,,,,,,,Line 346: <Image src={String(snow.level).startsWith('snowfall_') ? '/weather-icons/design/,activities,label
activities.label.activity_card_data_bar_347,activity-card__data-bar,,,,,,,,,,"Line 352: <div className=""activity-card__data-bar"">",activities,label
activities.label.activity_card_data_list_348,activity-card__data-list,,,,,,,,,,"Line 353: <ul className=""activity-card__data-list"">",activities,label
activities.label.activity_card_data_item_349,activity-card__data-item,,,,,,,,,,"Line 358: <li className=""activity-card__data-item"">",activities,label
activities.paragraph._weather_icons_design_fill_fin_350,/weather-icons/design/fill/final/thermometer-celsius.svg,,,,,,,,,,"Line 359: <Image src=""/weather-icons/design/fill/final/thermometer-celsius.svg"" alt=""Air t",activities,paragraph
activities.label.air_temperature_351,Air temperature,,,,,,,,,,"Line 359: <Image src=""/weather-icons/design/fill/final/thermometer-celsius.svg"" alt=""Air t",activities,label
activities.label.activity_card_data_icon_352,activity-card__data-icon,,,,,,,,,,"Line 360: className=""activity-card__data-icon"" width={24} height={24} />",activities,label
activities.paragraph._weather_icons_design_fill_fin_354,/weather-icons/design/fill/final/thermometer-water.svg,,,,,,,,,,"Line 366: <Image src=""/weather-icons/design/fill/final/thermometer-water.svg"" alt=""Water t",activities,paragraph
activities.label.water_temperature_355,Water temperature,,,,,,,,,,"Line 366: <Image src=""/weather-icons/design/fill/final/thermometer-water.svg"" alt=""Water t",activities,label
activities.label.activity_card_data_icon_lg_358,activity-card__data-icon--lg,,,,,,,,,,"Line 375: className=""activity-card__data-icon--lg"" width={32} height={32} />",activities,label
activities.label.precipitation_359,Precipitation,,,,,,,,,,"Line 380: <Image src={rainIcon} alt=""Precipitation""",activities,label
activities.paragraph.activity_card_data_item_activi_363,activity-card__data-item activity-card__data-item--wrap,,,,,,,,,,"Line 394: <li className=""activity-card__data-item activity-card__data-item--wrap"">",activities,paragraph
activities.label.wind_direction_wrapper_365,wind-direction-wrapper,,,,,,,,,,"Line 403: <div className=""wind-direction-wrapper"">",activities,label
activities.label.wind_direction_icon_366,wind-direction-icon,,,,,,,,,,"Line 407: className=""wind-direction-icon""",activities,label
activities.label.high_temperature_371,High Temperature,,,,,,,,,,"Line 438: <Image src=""/weather-icons/design/fill/final/thermometer-celsius.svg"" alt=""High ",activities,label
activities.paragraph._weather_icons_design_fill_fin_374,/weather-icons/design/fill/final/thermometer-colder.svg,,,,,,,,,,"Line 445: <Image src=""/weather-icons/design/fill/final/thermometer-colder.svg"" alt=""Low Te",activities,paragraph
activities.label.low_temperature_375,Low Temperature,,,,,,,,,,"Line 445: <Image src=""/weather-icons/design/fill/final/thermometer-colder.svg"" alt=""Low Te",activities,label
activities.label.temperature_379,Temperature,,,,,,,,,,"Line 455: <Image src=""/weather-icons/design/fill/final/thermometer-celsius.svg"" alt=""Tempe",activities,label
activities.label.wind_speed_additional_388,wind-speed-additional,,,,,,,,,,"Line 482: <span className=""wind-speed-additional"">",activities,label
activities.label.activity_card_score_395,activity-card__score,,,,,,,,,,"Line 533: <div className=""activity-card__score"">",activities,label
activities.label.day_tabs_397,day-tabs,,,,,,,,,,"Line 569: className=""day-tabs""",activities,label
activities.label.forecast_days_398,Forecast days,,,,,,,,,,"Line 570: aria-label=""Forecast days""",activities,label
activities.label._f8f9fa_400,#f8f9fa,,,,,,,,,,"Line 582: backgroundColor: isActive ? '#3b82f6' : '#f8f9fa',",activities,label
activities.label._e5e7eb_402,#e5e7eb,,,,,,,,,,"Line 583: borderColor: isActive ? '#3b82f6' : '#e5e7eb',",activities,label
activities.label._ffffff_403,#ffffff,,,,,,,,,,"Line 584: color: isActive ? '#ffffff' : '#374151',",activities,label
activities.label._374151_404,#374151,,,,,,,,,,"Line 584: color: isActive ? '#ffffff' : '#374151',",activities,label
activities.label.2px_405,2px,,,,,,,,,,"Line 585: borderWidth: '2px',",activities,label
activities.label.0_75rem_1rem_406,0.75rem 1rem,,,,,,,,,,"Line 587: padding: '0.75rem 1rem',",activities,label
activities.label.all_0_3s_ease_408,all 0.3s ease,,,,,,,,,,"Line 590: transition: 'all 0.3s ease',",activities,label
activities.label.120px_409,120px,,,,,,,,,,"Line 591: minWidth: '120px',",activities,label
activities.label.0_4px_12px_rgba_59_130_246_0_3_410,"0 4px 12px rgba(59, 130, 246, 0.3)",,,,,,,,,,"Line 595: boxShadow: isActive ? '0 4px 12px rgba(59, 130, 246, 0.3)' : 'none',",activities,label
activities.label._e5f3ff_411,#e5f3ff,,,,,,,,,,Line 599: e.currentTarget.style.backgroundColor = '#e5f3ff';,activities,label
activities.label._1e40af_413,#1e40af,,,,,,,,,,Line 601: e.currentTarget.style.color = '#1e40af';,activities,label
activities.label.text_center_417,text-center,,,,,,,,,,"Line 613: <div className=""text-center"">",activities,label
activities.label.0_9rem_418,0.9rem,,,,,,,,,,"Line 614: <div style={{ fontSize: '0.9rem', fontWeight: '600' }}>",activities,label
activities.label.0_8rem_419,0.8rem,,,,,,,,,,"Line 617: <div style={{ fontSize: '0.8rem', opacity: 0.8, marginTop: '2px' }}>",activities,label
activities.label._router_query_all__421,|| router.query.all ===,,,,,,,,,,Line 665: const useAllActivities = router.query.allActivities === '1' || router.query.all ,activities,label
activities.label._math_max_0_math_round_noonent_426,"] ? Math.max(0, Math.round(((noonEntry.snow[",,,,,,,,,,"Line 827: const snowfallRateMmH = noonEntry?.snow?.['3h'] ? Math.max(0, Math.round(((noonE",activities,label
activities.label.basketball_outdoor_427,basketball_outdoor,,,,,,,,,,Line 875: if (currentDayData && selectedInterests.includes('basketball_outdoor')) {,activities,label
activities.label.available_option_428,Available option,,,,,,,,,,"Line 929: evaluation: 'Available option',",activities,label
activities.paragraph.conditions_vary_but_available__429,"Conditions vary, but available based on your interests",,,,,,,,,,"Line 930: reasoning: 'Conditions vary, but available based on your interests',",activities,paragraph
activities.label.flex_items_center_justify_cent_430,flex items-center justify-center py-16,,,,,,,,,,"Line 977: <section className=""flex items-center justify-center py-16"">",activities,label
activities.label.flex_items_center_431,flex items-center,,,,,,,,,,"Line 978: <div className=""flex items-center"">",activities,label
activities.label.loading_loading_dots_loading_l_432,loading loading-dots loading-lg text-secondary,,,,,,,,,,"Line 979: <span className=""loading loading-dots loading-lg text-secondary"" aria-hidden=""tr",activities,label
activities.label.loading_your_activities_433,Loading your activities,,,,,,,,,,"Line 980: <span className=""ml-3 text-base-content/80"">Loading your activities</span>",activities,label
activities.label.ml_3_text_base_content_80_434,ml-3 text-base-content/80,,,,,,,,,,"Line 980: <span className=""ml-3 text-base-content/80"">Loading your activities</span>",activities,label
activities.label.activities_435,Activities,,,,,,,,,,"Line 992: title=""Activities""",activities,label
activities.paragraph.browse_all_your_selected_activ_436,"Browse all your selected activities with detailed weather conditions, scores, and recommendations for the next 8 days.",,,,,,,,,,"Line 993: description=""Browse all your selected activities with detailed weather condition",activities,paragraph
activities.label.https_godaisy_io_activities_437,https://godaisy.io/activities,,,,,,,,,,"Line 994: url=""https://godaisy.io/activities""",activities,label
activities.label.1200px_439,1200px,,,,,,,,,,"Line 1005: <section style={{ padding: '1rem', maxWidth: '1200px', margin: '0 auto' }}>",activities,label
activities.label.0_auto_440,0 auto,,,,,,,,,,"Line 1005: <section style={{ padding: '1rem', maxWidth: '1200px', margin: '0 auto' }}>",activities,label
activities.label._fef2f2_442,#fef2f2,,,,,,,,,,"Line 1011: background: '#fef2f2',",activities,label
activities.label.1px_solid_fecaca_444,1px solid #fecaca,,,,,,,,,,Line 1013: border: '1px solid #fecaca',activities,label
activities.heading.location_required_447,Location Required,,,,,,,,,,"Line 1016: <h2 style={{ color: '#dc2626', marginBottom: '0.5rem' }}>Location Required</h2>",activities,heading
activities.label._7f1d1d_450,#7f1d1d,,,,,,,,,,Line 1017: <p style={{ color: '#7f1d1d' }}>,activities,label
activities.label.8px_16px_453,8px 16px,,,,,,,,,,"Line 1025: padding: '8px 16px',",activities,label
activities.label.px_4_py_8_472,px-4 py-8,,,,,,,,,,"Line 1073: <div className=""px-4 py-8"">",activities,label
activities.label.day_panel__480,day-panel-,,,,,,,,,,Line 1100: id={`${'day-panel-'}${String(activeDay)}`},activities,label
activities.label.day_tab__481,day-tab-,,,,,,,,,,Line 1101: aria-labelledby={`${'day-tab-'}${String(activeDay)}`},activities,label
activities.label.activities_grid_482,activities-grid,,,,,,,,,,"Line 1102: className=""activities-grid""",activities,label
activities.label.empty_state_483,empty-state,,,,,,,,,,"Line 1105: <div className=""empty-state"">",activities,label
activities.label.empty_state_icon_484,empty-state__icon,,,,,,,,,,"Line 1106: <div className=""empty-state__icon"">🤔</div>",activities,label
activities.label.empty_state_text_485,empty-state__text,,,,,,,,,,"Line 1107: <div className=""empty-state__text"">",activities,label
weather.label._types_weather_486,../types/weather,,,,,,,,,,"Line 28: } from ""../types/weather"";",weather,label
weather.label._components_appheader_487,../components/AppHeader,,,,,,,,,,"Line 33: const AppHeader = dynamic(() => import('../components/AppHeader'), { ssr: false ",weather,label
weather.label._components_coastallocationdia_488,../components/CoastalLocationDialog,,,,,,,,,,"Line 34: const CoastalLocationDialog = dynamic(() => import(""../components/CoastalLocatio",weather,label
weather.paragraph.card_bg_slate_800_35_backdrop__489,card bg-slate-800/35 backdrop-blur-sm border border-white/10 shadow-sm animate-pulse,,,,,,,,,,"Line 39: <div className=""card bg-slate-800/35 backdrop-blur-sm border border-white/10 sha",weather,paragraph
weather.label.card_body_p_4_h_32_490,card-body p-4 h-32,,,,,,,,,,"Line 40: <div className=""card-body p-4 h-32""></div>",weather,label
weather.label._components_weather_cards_sunr_491,../components/weather-cards/SunriseSunsetCard,,,,,,,,,,"Line 45: () => import(""../components/weather-cards/SunriseSunsetCard"").then(m => ({ defau",weather,label
weather.label._components_weather_cards_humi_492,../components/weather-cards/HumidityCard,,,,,,,,,,"Line 50: () => import(""../components/weather-cards/HumidityCard"").then(m => ({ default: m",weather,label
weather.label._components_weather_cards_tide_493,../components/weather-cards/TidesCard,,,,,,,,,,"Line 55: () => import(""../components/weather-cards/TidesCard"").then(m => ({ default: m.Ti",weather,label
weather.label._components_weather_cards_wind_494,../components/weather-cards/WindCard,,,,,,,,,,"Line 61: () => import(""../components/weather-cards/WindCard"").then(m => ({ default: m.Win",weather,label
weather.label._components_weather_cards_wave_495,../components/weather-cards/WaveCard,,,,,,,,,,"Line 66: () => import(""../components/weather-cards/WaveCard"").then(m => ({ default: m.Wav",weather,label
weather.label._components_weather_cards_next_496,../components/weather-cards/NextFewDaysCard,,,,,,,,,,"Line 72: () => import(""../components/weather-cards/NextFewDaysCard"").then(m => ({ default",weather,label
weather.label._components_weather_cards_uvca_497,../components/weather-cards/UVCard,,,,,,,,,,"Line 78: () => import(""../components/weather-cards/UVCard"").then(m => ({ default: m.UVCar",weather,label
weather.label._components_weather_cards_airq_498,../components/weather-cards/AirQualityCard,,,,,,,,,,"Line 83: () => import(""../components/weather-cards/AirQualityCard"").then(m => ({ default:",weather,label
weather.label._components_weather_cards_poll_499,../components/weather-cards/PollenCard,,,,,,,,,,"Line 88: () => import(""../components/weather-cards/PollenCard"").then(m => ({ default: m.P",weather,label
weather.label._components_weather_cards_visi_500,../components/weather-cards/VisibilityCard,,,,,,,,,,"Line 93: () => import(""../components/weather-cards/VisibilityCard"").then(m => ({ default:",weather,label
weather.label._components_weather_cards_seat_501,../components/weather-cards/SeaTempCard,,,,,,,,,,"Line 98: () => import(""../components/weather-cards/SeaTempCard""),",weather,label
weather.label._components_weather_cards_prec_502,../components/weather-cards/PrecipNext24hCard,,,,,,,,,,"Line 104: () => import(""../components/weather-cards/PrecipNext24hCard"").then(m => m.Precip",weather,label
weather.paragraph.card_bg_slate_800_35_backdrop__503,card bg-slate-800/35 backdrop-blur-sm text-white border border-white/10 shadow-sm,,,,,,,,,,"Line 106: <div className=""card bg-slate-800/35 backdrop-blur-sm text-white border border-w",weather,paragraph
weather.label.card_body_p_4_504,card-body p-4,,,,,,,,,,"Line 107: <div className=""card-body p-4"">",weather,label
weather.heading.precip_next_24_hours_505,Precip next 24 hours,,,,,,,,,,"Line 108: <h3 className=""card__header-title text-sm font-semibold mb-2"">Precip next 24 hou",weather,heading
weather.heading.card_header_title_text_sm_font_506,card__header-title text-sm font-semibold mb-2,,,,,,,,,,"Line 108: <h3 className=""card__header-title text-sm font-semibold mb-2"">Precip next 24 hou",weather,heading
weather.label.flex_items_center_py_2_507,flex items-center py-2,,,,,,,,,,"Line 109: <div className=""flex items-center py-2""><span className=""loading loading-ring lo",weather,label
weather.label.loading_loading_ring_loading_s_508,loading loading-ring loading-sm text-secondary,,,,,,,,,,"Line 109: <div className=""flex items-center py-2""><span className=""loading loading-ring lo",weather,label
weather.label.ml_2_opacity_70_509,ml-2 opacity-70,,,,,,,,,,"Line 109: <div className=""flex items-center py-2""><span className=""loading loading-ring lo",weather,label
weather.label._components_weather_cards_moon_510,../components/weather-cards/MoonCard,,,,,,,,,,"Line 143: () => import(""../components/weather-cards/MoonCard"").then(m => m.MoonCard),",weather,label
weather.label.m_soilcard_as_react_componentt_511,m.SoilCard as React.ComponentType,,,,,,,,,,"Line 149: () => import(""../components/weather-cards/SoilCard"").then(m => m.SoilCard as Rea",weather,label
weather.label._components_weather_cards_soil_512,../components/weather-cards/SoilCard,,,,,,,,,,"Line 149: () => import(""../components/weather-cards/SoilCard"").then(m => m.SoilCard as Rea",weather,label
weather.label.m_default_as_react_componentty_513,m.default as React.ComponentType,,,,,,,,,,Line 155: () => import('../components/weather-cards/SurfDayGrade').then(m => m.default as ,weather,label
weather.label._components_weather_cards_surf_514,../components/weather-cards/SurfDayGrade,,,,,,,,,,Line 155: () => import('../components/weather-cards/SurfDayGrade').then(m => m.default as ,weather,label
weather.label.2_digit_516,2-digit,,,,,,,,,,"Line 195: return d.toLocaleTimeString('en-GB', { hour: '2-digit', minute: '2-digit' });",weather,label
weather.label.flat_calm_518,Flat calm,,,,,,,,,,Line 199: if (h < 0.10) return 'Flat calm';,weather,label
weather.label.very_rough_519,Very rough,,,,,,,,,,Line 206: if (h < 4.00) return 'Very rough';,weather,label
weather.label.high_seas_520,High seas,,,,,,,,,,Line 207: if (h < 6.00) return 'High seas';,weather,label
weather.label.stormy_seas_521,Stormy seas,,,,,,,,,,Line 208: return 'Stormy seas';,weather,label
weather.label._until__522,", until:",,,,,,,,,,"Line 219: if (!tides?.length) return { trend: '—', until: '—', nextTimeISO: null as string",weather,label
weather.paragraph._nexttimeiso_null_as_string_nu_523,", nextTimeISO: null as string | null, nextType: null as",,,,,,,,,,"Line 219: if (!tides?.length) return { trend: '—', until: '—', nextTimeISO: null as string",weather,paragraph
weather.label._weather_icons_design_fill_fin_524,/weather-icons/design/fill/final/wave-moving.svg,,,,,,,,,,Line 259: function waveIconPath(): string { return `/weather-icons/design/fill/final/wave-,weather,label
weather.label._weather_icons_design_fill_fin_525,/weather-icons/design/fill/final/tide-high.svg,,,,,,,,,,Line 260: function tideIconPath(): string { return `/weather-icons/design/fill/final/tide-,weather,label
weather.label.activelocationtype_526,activeLocationType,,,,,,,,,,Line 287: const stored = localStorage.getItem('activeLocationType');,weather,label
weather.label._prefers_reduced_motion_reduce_531,(prefers-reduced-motion: reduce),,,,,,,,,,"Line 351: const reduced = window.matchMedia?.(""(prefers-reduced-motion: reduce)"")?.matches",weather,label
weather.label.temp0cm_532,temp0cm,,,,,,,,,,"Line 407: 'temp0cm','temp6cm','temp18cm','temp54cm',",weather,label
weather.label.temp6cm_533,temp6cm,,,,,,,,,,"Line 407: 'temp0cm','temp6cm','temp18cm','temp54cm',",weather,label
weather.label.temp18cm_534,temp18cm,,,,,,,,,,"Line 407: 'temp0cm','temp6cm','temp18cm','temp54cm',",weather,label
weather.label.temp54cm_535,temp54cm,,,,,,,,,,"Line 407: 'temp0cm','temp6cm','temp18cm','temp54cm',",weather,label
weather.label.moisture0to1_536,moisture0to1,,,,,,,,,,"Line 408: 'moisture0to1','moisture1to3','moisture3to9','moisture9to27'",weather,label
weather.label.moisture1to3_537,moisture1to3,,,,,,,,,,"Line 408: 'moisture0to1','moisture1to3','moisture3to9','moisture9to27'",weather,label
weather.label.moisture3to9_538,moisture3to9,,,,,,,,,,"Line 408: 'moisture0to1','moisture1to3','moisture3to9','moisture9to27'",weather,label
weather.label.moisture9to27_539,moisture9to27,,,,,,,,,,"Line 408: 'moisture0to1','moisture1to3','moisture3to9','moisture9to27'",weather,label
weather.label.weather_go_daisy_542,Weather - Go Daisy,,,,,,,,,,Line 474: <title>Weather - Go Daisy</title>,weather,label
weather.label.relative_min_h_screen_543,relative min-h-screen,,,,,,,,,,"Line 477: className=""relative min-h-screen""",weather,label
weather.label.page_new_weather_544,page-new-weather,,,,,,,,,,"Line 478: data-testid=""page-new-weather""",weather,label
weather.label.relative_z_20_545,relative z-20,,,,,,,,,,"Line 480: <div className=""relative z-20"">",weather,label
weather.label.set_your_home_location_546,Set your home location,,,,,,,,,,"Line 493: title=""Set your home location""",weather,label
weather.label.set_your_beach_location_547,Set your beach location,,,,,,,,,,"Line 507: title=""Set your beach location""",weather,label
weather.label.absolute_inset_0_z_0_pointer_e_548,absolute inset-0 z-0 pointer-events-none,,,,,,,,,,"Line 521: <div className=""absolute inset-0 z-0 pointer-events-none"">",weather,label
weather.paragraph.absolute_inset_0_bg_gradient_t_549,absolute inset-0 bg-gradient-to-b from-sky-300/35 via-sky-100/20 to-sky-300/35,,,,,,,,,,"Line 524: <div className=""absolute inset-0 bg-gradient-to-b from-sky-300/35 via-sky-100/20",weather,paragraph
weather.paragraph.relative_z_10_bg_transparent_t_550,relative z-10 bg-transparent text-base-content min-h-screen overflow-x-hidden,,,,,,,,,,"Line 542: <main className=""relative z-10 bg-transparent text-base-content min-h-screen ove",weather,paragraph
weather.label.mx_auto_w_full_max_w_6xl_px_4__551,mx-auto w-full max-w-6xl px-4 py-6,,,,,,,,,,"Line 543: <section className=""mx-auto w-full max-w-6xl px-4 py-6"">",weather,label
weather.label.alert_alert_error_mt_3_text_sm_552,alert alert-error mt-3 text-sm,,,,,,,,,,"Line 552: <div className=""alert alert-error mt-3 text-sm"">",weather,label
weather.label.weather_data_error_553,Weather data error,,,,,,,,,,"Line 554: <span className=""font-semibold"">Weather data error</span>",weather,label
weather.label.font_semibold_554,font-semibold,,,,,,,,,,"Line 554: <span className=""font-semibold"">Weather data error</span>",weather,label
weather.label.ml_2_opacity_80_555,ml-2 opacity-80,,,,,,,,,,"Line 555: <span className=""ml-2 opacity-80"">{apiError}</span>",weather,label
weather.label.mx_auto_w_full_max_w_6xl_px_4__556,mx-auto w-full max-w-6xl px-4 pb-10 space-y-4,,,,,,,,,,"Line 562: <div className=""mx-auto w-full max-w-6xl px-4 pb-10 space-y-4"">",weather,label
weather.label.title__557,title=,,,,,,,,,,"Line 567: <SectionHeader icon=""🌊"" title=""Surf & Marine Conditions"" />",weather,label
weather.label.grid_grid_cols_1_gap_4_558,grid grid-cols-1 gap-4,,,,,,,,,,"Line 570: <Row className=""grid grid-cols-1 gap-4"">",weather,label
weather.label.card_hourly_562,card-hourly,,,,,,,,,,"Line 579: <div data-testid=""card-hourly"">",weather,label
weather.label.badge_warning_563,badge-warning,,,,,,,,,,"Line 584: pollenBadgeClass=""badge-warning""",weather,label
